"airport","lon","lat","name","country","temperature","5-95% Uncertainty Range","units"
"MAD",-3.56652498245239,40.4981346130371,"Madrid-Barajas Adolfo Suárez","Spain",39.4,"38.5-40.3","Celsius"
"TLS",1.36695194244385,43.6293258666992,"Toulouse-Blagnac","France",35.82,"34.7-37.3","Celsius"
"ORY",2.3656759262085,48.7258453369141,"Paris-Orly","France",32.18,"30.9-34.4","Celsius"
"BCN",2.08308506011963,41.2967987060547,"Barcelona-El Prat Josep Tarradellas","Spain",32.56,"31.7-33.6","Celsius"
"NCE",7.21500682830811,43.6597747802734,"Nice-Côte d'Azur","France",32.47,"31.7-33.7","Celsius"
"FCO",12.2466249465942,41.7992477416992,"Rome-Fiumicino Leonardo da Vinci","Italy",35.58,"34.6-36.9","Celsius"
"ATH",23.9476203918457,37.9350357055664,"Athens-Eleftherios Venizelos","Greece",36.24,"35.5-37.5","Celsius"
"LYS",5.08856201171875,45.7232398986816,"Lyon-Saint Exupéry","France",34.68,"33.5-36.7","Celsius"
"MXP",8.72458744049072,45.6299133300781,"Milan-Malpensa","Italy",34.16,"33-35.6","Celsius"
"JKH",26.142578125,38.3457794189453,"Chios-Omiros","Greece",35.55,"34.7-36.6","Celsius"
"RAK",-8.02451610565186,31.6021118164062,"Marrakesh-Menara","Morocco",43.86,"43-44.9","Celsius"
"IST",28.7297611236572,41.2764015197754,"Istanbul","Turkey",33.33,"32.2-34.8","Celsius"
"LIN",9.27653980255127,45.4533348083496,"Milan-Linate","Italy",34.97,"33.8-36.5","Celsius"
"CIA",12.5927810668945,41.7985916137695,"Rome-Ciampino","Italy",35.76,"34.7-36.8","Celsius"
"OLB",9.51599311828613,40.899829864502,"Olbia-Costa Smeralda","Italy",35.46,"34.7-36.7","Celsius"
"AHO",8.28964138031006,40.6330604553223,"Alghero–Fertilia","Italy",36.69,"35.9-37.8","Celsius"
"TPS",12.4958429336548,37.902286529541,"Trapani-Birgi Vincenzo Florio","Italy",36.73,"35.8-37.6","Celsius"
"GRO",2.76600408554077,41.898738861084,"Girona Costa Brava","Spain",35.8,"34.5-37","Celsius"
"VLC",-0.47817000746727,39.4909172058105,"Valencia-Manises","Spain",34.38,"33.5-35.8","Celsius"
"SVQ",-5.89315605163574,37.422004699707,"Sevilla-San Pablo","Spain",42.23,"41.3-43","Celsius"
"MAH",4.21992492675781,39.8639183044434,"Menorca-Mahón","Spain",33.74,"32.9-34.7","Celsius"
"GIB",-5.34866523742676,36.1520843505859,"Gibraltar-North Front","UK",32.09,"31.1-33.3","Celsius"
"XRY",-6.06093120574951,36.7458343505859,"Jerez-La Parra","Spain",39.89,"39.1-40.6","Celsius"
"REU",1.16855096817017,41.1497840881348,"Reus","Spain",33.81,"33.1-34.8","Celsius"
"LEI",-2.37048411369324,36.8449172973633,"Almería-Antonio de Torres","Spain",36.76,"35.9-37.5","Celsius"
"GRX",-3.77804708480835,37.1874618530273,"Granada-Federico García Lorca","Spain",40.48,"39.6-41.3","Celsius"
"QSA",2.10170888900757,41.5218391418457,"Sabadell","Spain",33.91,"32.9-35.2","Celsius"
"ROZ",-6.34680414199829,36.6387672424316,"Rota Naval Station","Spain",37.43,"36.7-38","Celsius"
"LEU",1.40572905540466,42.3383560180664,"Andorra-La Seu d'Urgell","Spain",32.49,"31.4-33.7","Celsius"
"DBV",18.2621192932129,42.5630035400391,"Dubrovnik","Croatia",33.89,"32.7-35.1","Celsius"
"ZAD",15.3533544540405,44.0979537963867,"Zadar","Croatia",33.56,"32.5-34.8","Celsius"
"PUY",13.9234313964844,44.9012413024902,"Pula","Croatia",33.41,"32.4-35","Celsius"
"RJK",14.5696983337402,45.2194404602051,"Rijeka","Croatia",34.21,"33-35.6","Celsius"
"BWK",16.6788673400879,43.2892456054688,"Brac","Croatia",32.43,"31.3-33.7","Celsius"
"TIV",18.7181224822998,42.4118499755859,"Tivat","Montenegro",36.2,"35.1-37.2","Celsius"
"PRN",21.0294055938721,42.5758628845215,"Prishtina-Adem Jashari","Kosovo",34.53,"33.5-35.6","Celsius"
"BNX",17.303768157959,44.9337882995605,"Banja Luka","Bosnia and Herzegovina",36.18,"34.8-37.3","Celsius"
"OMO",17.8361358642578,43.2902030944824,"Mostar","Bosnia and Herzegovina",38.56,"37.4-39.7","Celsius"
"TZL",18.7103652954102,44.4632835388184,"Tuzla","Bosnia and Herzegovina",35.99,"34.7-37.1","Celsius"
"INI",21.8663234710693,43.3377685546875,"Nis-Constantine the Great","Serbia",36.82,"35.6-38","Celsius"
"OHD",20.7451343536377,41.1822166442871,"Ohrid-St. Paul the Apostle","North Macedonia",34.76,"33.6-35.9","Celsius"
"CFU",19.9142265319824,39.6090202331543,"Corfu-Ioannis Kapodistrias","Greece",37.13,"36.2-38","Celsius"
"RHO",28.091272354126,36.4042778015137,"Rhodes-Diagoras","Greece",36.93,"36.1-37.8","Celsius"
"KGS",27.0904388427734,36.8020629882812,"Kos-Hippocrates","Greece",35.41,"34.6-36.4","Celsius"
"JTR",25.4774761199951,36.4003868103027,"Santorini","Greece",33.55,"32.7-34.7","Celsius"
"SMI",26.9143676757812,37.6900863647461,"Samos-Aristarchos","Greece",38.07,"37.2-39","Celsius"
"CHQ",24.1403179168701,35.5406837463379,"Chania-Ioannis Daskalogiannis","Greece",36.83,"35.8-38.1","Celsius"
"JMK",25.3473472595215,37.4345932006836,"Mykonos-Manto Mavrogenous","Greece",32.18,"31.4-33.3","Celsius"
"JSI",23.5010929107666,39.1772117614746,"Skiathos-Alexandros Papadiamantis","Greece",37.36,"36.3-38.5","Celsius"
"PVK",20.7714767456055,38.9311752319336,"Preveza-Aktion","Greece",38.61,"37.8-39.5","Celsius"
"EFL",20.5048141479492,38.1200904846191,"Kefalonia-Anna Pollatou","Greece",37.21,"36.4-38.1","Celsius"
"AOK",27.1470680236816,35.422435760498,"Karpathos","Greece",36.28,"35.3-37.4","Celsius"
"IOA",20.8208656311035,39.6956481933594,"Ioannina","Greece",39.12,"38.2-40","Celsius"
"KLX",22.0343990325928,37.0556106567383,"Kalamata-Captain Vassilis Konstantakopoulos","Greece",37.74,"37-38.9","Celsius"
"KVA",24.6233615875244,40.9224166870117,"Kavala-Alexander the Great","Greece",36.93,"36.1-37.9","Celsius"
"MJT",26.5977935791016,39.0631446838379,"Mitilini-Odysseas Elytis","Greece",36.44,"35.6-37.6","Celsius"
"GPA",21.4256420135498,38.1526641845703,"Araxos","Greece",38.33,"37.4-39.4","Celsius"
"JNX",25.3696403503418,37.0818099975586,"Naxos","Greece",33.37,"32.6-34.5","Celsius"
